id,account_code,account_name,account_type,sub_type,parent_code,description,normal_balance,is_active,is_header,currency,created_at
1,1000,Assets,Asset,Header,,All asset accounts,Debit,1,1,USD,2023-01-01 09:00:00
2,1100,Cash & Cash Equivalents,Asset,Asset,1000,Bank accounts and cash equivalents,Debit,1,0,USD,2023-01-01 09:00:00
3,1110,Operating Cash Account,Asset,Asset,1100,Primary operating bank account,Debit,1,0,USD,2023-01-01 09:00:00
4,1120,Restricted Cash,Asset,Asset,1100,Restricted cash and collateral,Debit,1,0,USD,2023-01-01 09:00:00
5,1200,Accounts Receivable,Asset,Asset,1000,Receivables from customers and partners,Debit,1,0,USD,2023-01-01 09:00:00
6,1210,Trade Accounts Receivable,Asset,Asset,1200,Trade receivables from passenger and cargo customers,Debit,1,0,USD,2023-01-01 09:00:00
7,1220,Interline Receivable,Asset,Asset,1200,Amounts due from partner carriers,Debit,1,0,USD,2023-01-01 09:00:00
8,1300,Inventory,Asset,Header,1000,Inventory accounts,Debit,1,1,USD,2023-01-01 09:00:00
9,1310,Jet Fuel Inventory,Asset,Asset,1300,Jet fuel on hand,Debit,1,0,USD,2023-01-01 09:00:00
10,1320,Spare Parts Inventory,Asset,Asset,1300,Aircraft spare parts and rotable inventory,Debit,1,0,USD,2023-01-01 09:00:00
11,1400,Prepaid Expenses,Asset,Asset,1000,"Prepaid rent, insurance, and services",Debit,1,0,USD,2023-01-01 09:00:00
12,1500,"Property, Plant & Equipment",Asset,Header,1000,"Property, plant and equipment",Debit,1,1,USD,2023-01-01 09:00:00
13,1510,Aircraft & Engines,Asset,Asset,1500,Owned aircraft and engines,Debit,1,0,USD,2023-01-01 09:00:00
14,1520,Ground Equipment,Asset,Asset,1500,Ground support equipment,Debit,1,0,USD,2023-01-01 09:00:00
15,1530,Leasehold Improvements,Asset,Asset,1500,Improvements to leased facilities,Debit,1,0,USD,2023-01-01 09:00:00
16,1600,Accumulated Depreciation,Asset,Contra Asset,1500,Accumulated depreciation on fixed assets,Credit,1,0,USD,2023-01-01 09:00:00
