id,date,category,subcategory,description,amount,department,vendor,cost_center,approved_by,status,created_at
1,2023-01-01,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,11435062.27,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-01 14:45:00
2,2023-01-01,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,1634766.2,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-01-01 10:15:00
3,2023-01-01,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1782249.34,Flight Operations,Signature Aviation,CC-FLT-110,VP Flight Ops,Paid,2023-01-01 10:15:00
4,2023-01-01,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6344220.69,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-01 10:15:00
5,2023-01-01,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5275975.67,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-01-01 14:45:00
6,2023-01-01,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2541792.46,Maintenance & Engineering,AAR Corp,CC-MNT-310,VP Maintenance,Paid,2023-01-01 14:45:00
7,2023-01-01,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1840608.33,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Approved,2023-01-01 14:45:00
8,2023-01-01,Airport Operations,Landing Fees,Landing Fees - Atlanta ATL,2032045.4,Airport Operations,Atlanta ATL,CC-AIR-410,VP Airports,Approved,2023-01-01 14:45:00
9,2023-01-01,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,790239.88,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Paid,2023-01-01 16:20:00
10,2023-01-01,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3340353.68,Fleet Management,SMBC Aviation Capital,CC-FLT-120,VP Fleet,Pending,2023-01-01 16:20:00
11,2023-01-01,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,1087565.38,Commercial & Marketing,Amadeus,CC-COM-510,Director Revenue Mgmt,Paid,2023-01-01 14:45:00
12,2023-01-01,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,666572.33,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Chief Commercial Officer,Paid,2023-01-01 10:15:00
13,2023-01-01,In-flight Services,Catering,Catering - dnata Catering,1179508.07,Customer Experience,dnata Catering,CC-CAB-610,VP Customer Experience,Paid,2023-01-01 10:15:00
14,2023-01-01,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,878718.75,Finance & Accounting,AIG Aviation,CC-FIN-710,CFO,Approved,2023-01-01 16:20:00
15,2023-01-01,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,2075999.88,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-01-01 14:45:00
16,2023-01-01,General & Admin,IT & Communications,IT & Communications - Microsoft,362822.38,Corporate Services,Microsoft,CC-COR-810,VP Corporate Services,Paid,2023-01-01 10:15:00
17,2023-01-01,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,273708.12,Corporate Services,ConEdison,CC-COR-810,VP Corporate Services,Approved,2023-01-01 12:30:00
18,2023-01-02,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,7583386.94,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-02 14:45:00
19,2023-01-02,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,3716165.6,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2023-01-02 10:15:00
20,2023-01-02,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,1540848.07,Flight Operations,Menzies Aviation,CC-FLT-110,VP Flight Ops,Paid,2023-01-02 16:20:00
21,2023-01-02,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,4928646.96,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-02 14:45:00
22,2023-01-02,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,4815461.02,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-01-02 16:20:00
23,2023-01-02,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2121449.44,Maintenance & Engineering,AAR Corp,CC-MNT-310,Director Engineering,Approved,2023-01-02 14:45:00
24,2023-01-02,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - Rolls-Royce TotalCare,1536222.01,Maintenance & Engineering,Rolls-Royce TotalCare,CC-MNT-310,Director Engineering,Paid,2023-01-02 16:20:00
25,2023-01-02,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,1792277.16,Airport Operations,Los Angeles LAX,CC-AIR-410,VP Airports,Pending,2023-01-02 12:30:00
26,2023-01-02,Airport Operations,Ground Handling,Ground Handling - dnata,696996.67,Airport Operations,dnata,CC-AIR-410,Director Stations,Approved,2023-01-02 10:15:00
27,2023-01-02,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,2708022.44,Fleet Management,AerCap,CC-FLT-120,VP Fleet,Paid,2023-01-02 16:20:00
28,2023-01-02,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,864841.27,Commercial & Marketing,Travelport,CC-COM-510,Chief Commercial Officer,Approved,2023-01-02 16:20:00
29,2023-01-02,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,530064.0,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Director Revenue Mgmt,Pending,2023-01-02 10:15:00
30,2023-01-02,In-flight Services,Catering,Catering - dnata Catering,990493.47,Customer Experience,dnata Catering,CC-CAB-610,VP Customer Experience,Paid,2023-01-02 14:45:00
31,2023-01-02,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,599012.0,Finance & Accounting,Marsh Aviation,CC-FIN-710,Controller,Approved,2023-01-02 16:20:00
32,2023-01-02,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1754844.8,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-01-02 10:15:00
33,2023-01-02,General & Admin,IT & Communications,IT & Communications - AT&T Business,446539.39,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Pending,2023-01-02 12:30:00
34,2023-01-02,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,336863.05,Corporate Services,ConEdison,CC-COR-810,VP Corporate Services,Paid,2023-01-02 14:45:00
35,2023-01-03,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,4384448.82,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-03 12:30:00
36,2023-01-03,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,7796856.01,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2023-01-03 16:20:00
37,2023-01-03,Fuel,Into-Plane Services,Into-Plane Services - Menzies Aviation,1661087.02,Flight Operations,Menzies Aviation,CC-FLT-110,VP Flight Ops,Pending,2023-01-03 14:45:00
38,2023-01-03,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5962029.51,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-03 10:15:00
39,2023-01-03,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,4681491.29,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-01-03 12:30:00
40,2023-01-03,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2209971.93,Maintenance & Engineering,AAR Corp,CC-MNT-310,Director Engineering,Pending,2023-01-03 12:30:00
41,2023-01-03,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1600324.5,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,Director Engineering,Pending,2023-01-03 12:30:00
42,2023-01-03,Airport Operations,Landing Fees,Landing Fees - Los Angeles LAX,1919280.23,Airport Operations,Los Angeles LAX,CC-AIR-410,Director Stations,Pending,2023-01-03 14:45:00
43,2023-01-03,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,746386.75,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Approved,2023-01-03 12:30:00
44,2023-01-03,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3044766.8,Fleet Management,AerCap,CC-FLT-120,Treasury Director,Approved,2023-01-03 12:30:00
45,2023-01-03,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,891707.28,Commercial & Marketing,Travelport,CC-COM-510,Chief Commercial Officer,Approved,2023-01-03 10:15:00
46,2023-01-03,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,546530.27,Commercial & Marketing,American Express Merchant,CC-COM-510,Chief Commercial Officer,Pending,2023-01-03 14:45:00
47,2023-01-03,In-flight Services,Catering,Catering - LSG Sky Chefs,1038962.31,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Approved,2023-01-03 16:20:00
48,2023-01-03,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,695278.52,Finance & Accounting,AIG Aviation,CC-FIN-710,CFO,Paid,2023-01-03 16:20:00
49,2023-01-03,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1958741.51,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-01-03 16:20:00
50,2023-01-03,General & Admin,IT & Communications,IT & Communications - SITA,348286.47,Corporate Services,SITA,CC-COR-810,VP Corporate Services,Approved,2023-01-03 16:20:00
51,2023-01-03,General & Admin,Utilities & Facilities,Utilities & Facilities - CBRE,262742.42,Corporate Services,CBRE,CC-COR-810,Director Procurement,Approved,2023-01-03 10:15:00
52,2023-01-04,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,5579256.55,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-04 14:45:00
53,2023-01-04,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,7163678.87,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Approved,2023-01-04 12:30:00
54,2023-01-04,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1737673.01,Flight Operations,Signature Aviation,CC-FLT-110,Chief Pilot,Approved,2023-01-04 12:30:00
55,2023-01-04,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6189269.84,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-01-04 10:15:00
56,2023-01-04,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5185183.66,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-04 10:15:00
